what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384210296377
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384210303557
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210306144
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384210308616
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210308634
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210309068
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210310547
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384210313848
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384210315137
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384210316667
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384210319570
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210549075
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210550808
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210551556
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210553498
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384210554500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384211165687
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384211202692
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384211204398
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384211206512
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384211206526
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384211206929
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384211210456
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384211210525
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384211214032
