what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384218417084
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1384218429634
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384218483508
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1384218484971
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218485380
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218487079
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384218488005
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218564288
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218626880
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1384218631569
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218644295
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218673271
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1384218687761
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384218688152
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1384218690415
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218690916
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218693209
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384218693728
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384218698166
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1384218700443
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218705933
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384218707666
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384218707682
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384218709274
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384218710575
