what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1384217150460
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217150468
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217159029
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217240866
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217242529
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217242953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217244527
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217245004
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217268519
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217271062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217297172
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384217298454
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217300383
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1384217304352
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217305139
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384217308733
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1384217309946
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384217311489
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384217393414
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384217449975
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384217524174
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1384217606250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1384217669536
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217676052
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384217679738
