what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208151428
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208154583
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384208173938
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384208288378
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1384208291791
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208292208
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208293889
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384208297510
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208312972
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208313786
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1384208340865
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384208341115
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384208341200
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384208356235
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1384208356237
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208450412
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208458075
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1384208478501
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1384208479694
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1384208481887
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1384208485135
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.buildProject,1384208488860
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208489276
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208491067
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1384208498803
